"","Date","Address","Type","Total","Unit","Building","Area","Age","Floor","Pattern","District","Year","month","MRT","Room","Hall","Bath"
"3043","105年07月","大同區哈密街59巷53弄1~30號                                
                                                                            ","公寓",2300,43.2,53.18,13.55,30.7,3,"4房/2廳/2衛","大同",105,7,"",4,2,2
"3044","105年07月","大同區延平北路四段151~180號                                
                                                                            ","公寓",1040,43.7,23.82,6.96,NA,1,"2房/1廳/2衛","大同",105,7,"",2,1,2
"3045","105年07月","大同區華陰街72巷1~30號                                
                                                                            ","透天厝",6880,123.5,55.72,16.64,NA,1,"4房/0廳/4衛","大同",105,7,"                                                    
                                                                
                                    近捷運 台北車站 》                                
                                                                
                                    近捷運 北門站 》",4,0,4
"3046","105年07月","大同區重慶北路三段136巷1~30號                                
                                                                            ","公寓",938,54.7,17.15,5.26,38.8,3,"2房/2廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》",2,2,1
"3047","105年07月","大同區寧夏路1~30號                                
                                                                            ","住宅大樓                                                含車位",1600,44.8,35.68,2.48,19.8,5,"2房/2廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 中山站 》",2,2,1
"3048","105年07月","大同區迪化街二段301~330號                                
                                                                            ","公寓",1100,58,18.98,4.11,9.9,1,"2房/1廳/2衛","大同",105,7,"",2,1,2
"3049","105年07月","大同區興城街16巷1~30號                                
                                                                            ","公寓",200,76.9,2.6,4.46,NA,1,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 雙連站 》",0,0,0
"3050","105年07月","大同區重慶北路一段61~90號                                
                                                                            ","華廈",218,57.2,3.81,0.46,41.3,3,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 北門站 》",0,0,0
"3051","105年07月","大同區延平北路一段91~120號                                
                                                                            ","純車位",150,NA,0.44,0.04,12.9,2,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 北門站 》",0,0,0
"3052","105年07月","大同區延平北路二段60巷1~30號                                
                                                                            ","店面(店鋪)",1320,183.2,7.21,7.23,NA,1,"0房/0廳/0衛","大同",105,7,"",0,0,0
"3053","105年07月","大同區南京西路185巷1~30號                                
                                                                            ","套房",450,32.8,13.7,2.62,34.6,3,"1房/1廳/1衛","大同",105,7,"",1,1,1
"3054","105年07月","大同區延平北路二段247巷1~30號                                
                                                                            ","公寓",670,40.1,16.71,5.91,38.4,5,"2房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》",2,1,1
"3055","105年07月","大同區大龍街91巷1~30號                                
                                                                            ","套房",162,14.9,10.9,2.42,21.8,7,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 民權西路站 》                                
                                                                
                                    近捷運 圓山站 》                                
                                                                
                                    近捷運 大橋頭站 》                                
                                                                                                
                                    社區 大華理想家 》",0,0,0
"3056","105年07月","大同區承德路三段208巷1~30號                                
                                                                            ","套房",530,70.9,7.48,1.16,9.2,9,"1房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 圓山站 》                                
                                                                                                
                                    社區 圓山MRT 》",1,1,1
"3057","105年07月","大同區五原路1~30號                                
                                                                            ","純車位",69,NA,6.83,0.03,6.6,1,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 中山站 》                                
                                                                
                                    近捷運 雙連站 》",0,0,0
"3058","105年07月","橋北段三小段421~450地號                                
                                                                            ","純土地",810,89.3,NA,9.08,NA,0,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》",0,0,0
"3059","105年07月","大同區延平北路四段235巷1~30號                                
                                                                            ","公寓",380,13.4,28.38,9.93,37.8,2,"2房/1廳/1衛","大同",105,7,"",2,1,1
"3060","105年07月","大同區迪化街一段72巷8弄1~30號                                
                                                                            ","公寓",680,66.4,10.24,3.4,NA,1,"0房/2廳/1衛","大同",105,7,"",0,2,1
"3061","105年07月","大同區延平北路四段235巷1~30號                                
                                                                            ","公寓",1350,45.3,29.81,11.61,37.8,4,"2房/2廳/2衛","大同",105,7,"",2,2,2
"3062","105年07月","大同區歸綏街181~210號                                
                                                                            ","套房",850,46.8,18.17,2.07,20.8,9,"1房/1廳/1衛","大同",105,7,"",1,1,1
"3063","105年07月","大同區民族西路76巷12弄1~30號                                
                                                                            ","住宅大樓                                                含車位",550,11.6,47.59,7.62,21.3,6,"3房/1廳/2衛","大同",105,7,"                                                    
                                                                
                                    近捷運 圓山站 》                                
                                                                                                
                                    社區 大華理想家 》",3,1,2
"3064","105年07月","大同區寧夏路31~60號                                
                                                                            ","套房",340,35.3,9.63,0.94,33.6,11,"0房/0廳/0衛","大同",105,7,"",0,0,0
"3065","105年07月","大同區延平北路二段272巷31~60號                                
                                                                            ","公寓",642,21.8,29.44,9.08,41.5,3,"3房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》",3,1,1
"3066","105年07月","大同區承德路三段299巷1~30號                                
                                                                            ","公寓",1330,41.5,32.03,9.47,35.6,2,"3房/2廳/2衛","大同",105,7,"                                                    
                                                                
                                    近捷運 圓山站 》",3,2,2
"3067","105年07月","大同區承德路三段211~240號                                
                                                                            ","住宅大樓                                                含車位",1900,52.2,36.4,3.82,3.3,8,"2房/2廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 圓山站 》",2,2,1
"3068","105年07月","大同區哈密街59巷78弄1~30號                                
                                                                            ","住宅大樓",2050,44.3,46.29,10.71,17.5,11,"3房/2廳/2衛","大同",105,7,"",3,2,2
"3069","105年07月","大同區大龍街89巷1~30號                                
                                                                            ","公寓",220,27.4,8.03,4.19,51.2,5,"1房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 民權西路站 》",1,1,1
"3070","105年07月","大同區迪化街一段361~390號                                
                                                                            ","透天厝",1240,87.1,14.23,13.53,93,1,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》",0,0,0
"3071","105年07月","大同區西寧北路61~90號                                
                                                                            ","住宅大樓",1350,38.3,35.23,4.11,37.6,9,"3房/2廳/2衛","大同",105,7,"                                                    
                                                                                                
                                    社區 森城安樂商業大樓 》",3,2,2
"3072","105年07月","大同區寧夏路121~150號                                
                                                                            ","住宅大樓                                                含車位",3120,68.6,48.12,4.6,0.3,3,"3房/2廳/2衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》",3,2,2
"3073","105年07月","大同區南京西路250巷1~30號                                
                                                                            ","公寓",800,30.5,26.21,7.41,40.7,2,"2房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 中山站 》",2,1,1
"3074","105年07月","大同區延平北路二段31~60號                                
                                                                            ","套房",650,51,12.75,1.36,38.8,10,"0房/0廳/0衛","大同",105,7,"",0,0,0
"3075","105年07月","大同區哈密街59巷78弄1~30號                                
                                                                            ","住宅大樓",1862,42,44.38,10.02,17.5,8,"2房/2廳/2衛","大同",105,7,"",2,2,2
"3076","105年07月","大同區南京西路61~90號                                
                                                                            ","住宅大樓",1000,76,13.16,1.48,9.7,10,"2房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 中山站 》                                
                                                                                                
                                    社區 時尚衣蝶 》",2,1,1
"3077","105年07月","大同區延平北路二段247巷1~30號                                
                                                                            ","公寓",850,38.8,21.9,7.83,38.4,4,"4房/2廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》",4,2,1
"3078","105年07月","大同區南京西路301~330號                                
                                                                            ","套房",220,17.7,12.44,0.83,35.8,8,"0房/0廳/0衛","大同",105,7,"",0,0,0
"3079","105年07月","大同區甘谷街31~60號                                
                                                                            ","純車位",318,NA,10.44,1.02,23.8,-1,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 北門站 》",0,0,0
